timestamp,quote_timestamp,instrument_name,expiry,strike,option_type,bid,ask,mark,bid_btc,ask_btc,mark_btc,underlying,bid_size,ask_size,volume,volume_usd,open_interest,mark_iv,bid_iv,ask_iv,delta,gamma,vega,theta,rho,index_price,state
2026-04-28 21:34:00+00:00,2026-04-28 21:34:52.880000+00:00,BTC-1MAY26-80000-P,2026-05-01 08:00:00+00:00,80000.0,P,3699.2400150000003,3928.058985,3798.394902,0.0485,0.0515,0.0498,76272.99,0.2,0.6,0.0,0.0,25.6,39.14,0.0,50.79,-0.93011,6e-05,8.35292,-67.16087,-4.98433,76318.34,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:52.880000+00:00,BTC-1MAY26-72000-C,2026-05-01 08:00:00+00:00,72000.0,C,4271.284079999999,4461.966405,4370.438888999999,0.056,0.0585,0.0573,76272.93,0.7,0.2,0.0,0.0,20.0,49.24,0.0,57.91,0.92702,5e-05,8.63451,-87.33131,4.42343,76318.34,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:52.880000+00:00,BTC-1MAY26-72000-P,2026-05-01 08:00:00+00:00,72000.0,P,99.154887,106.78218600000001,99.154887,0.0013,0.0014,0.0013,76272.99,3.7,0.2,34.4,4320.62,1211.4,49.24,48.98,49.86,-0.07297,5e-05,8.63428,-87.32889,-0.37793,76318.34,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:52.880000+00:00,BTC-1MAY26-81000-C,2026-05-01 08:00:00+00:00,81000.0,C,38.136464999999994,53.391051,45.76375799999999,0.0005,0.0007,0.0006,76272.93,3.2,47.9,369.4,30064.7,879.3,41.77,41.04,43.73,0.04042,3e-05,5.41355,-41.97005,0.20281,76318.34,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:52.880000+00:00,BTC-1MAY26-81000-P,2026-05-01 08:00:00+00:00,81000.0,P,4576.3794,4957.744350000001,4767.061875,0.06,0.065,0.0625,76272.99,0.2,9.2,0.0,0.0,2.3,41.77,0.0,62.14,-0.95957,3e-05,5.41378,-46.45304,-5.19872,76318.34,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:52.880000+00:00,BTC-1MAY26-71000-C,2026-05-01 08:00:00+00:00,71000.0,C,5262.83217,5453.514494999999,5331.477807,0.069,0.0715,0.0699,76272.93,0.6,0.6,0.0,0.0,18.7,52.63,0.0,67.09,0.95433,3e-05,5.97482,-64.59561,4.49819,76318.34,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:52.880000+00:00,BTC-1MAY26-71000-P,2026-05-01 08:00:00+00:00,71000.0,P,61.018392000000006,76.27299000000001,61.018392000000006,0.0008,0.001,0.0008,76272.99,2.0,26.8,6.8,508.66,484.5,52.63,52.35,54.79,-0.04567,3e-05,5.97464,-62.7022,-0.23648,76318.34,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:56.494000+00:00,BTC-1MAY26-82000-C,2026-05-01 08:00:00+00:00,82000.0,C,22.881878999999994,30.509172,22.881878999999994,0.0003,0.0004,0.0003,76272.93,3.3,40.0,40.7,1696.3,824.7,44.46,43.91,45.98,0.02408,2e-05,3.52753,-24.74742,0.12083,76318.34,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:56.908000+00:00,BTC-1MAY26-82000-P,2026-05-01 08:00:00+00:00,82000.0,P,5529.84905,5911.21795,5751.043011999999,0.0725,0.0775,0.0754,76273.78,10.1,0.2,2.0,11029.02,2.3,44.47,0.0,66.77,-0.97589,2e-05,3.53093,-32.25173,-5.34726,76319.3,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:56.908000+00:00,BTC-1MAY26-70000-C,2026-05-01 08:00:00+00:00,70000.0,C,6216.391310000001,6407.078160000001,6315.548472,0.0815,0.084,0.0828,76274.74,0.6,0.2,1.5,9774.98,19.2,56.41,0.0,71.33,0.97039,2e-05,4.19195,-48.57583,4.51468,76319.3,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:56.908000+00:00,BTC-1MAY26-70000-P,2026-05-01 08:00:00+00:00,70000.0,P,38.13689,53.391646,38.13689,0.0005,0.0007,0.0005,76273.78,23.0,29.3,197.9,11161.21,1635.5,56.41,55.74,59.16,-0.02962,2e-05,4.19406,-40.92359,-0.15341,76319.3,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:57.914000+00:00,BTC-1MAY26-83000-C,2026-05-01 08:00:00+00:00,83000.0,C,7.627474000000001,22.882422,15.254948000000002,0.0001,0.0003,0.0002,76274.74,33.7,21.2,22.2,579.69,699.0,46.4,43.12,50.01,0.01351,1e-05,2.15552,-13.49012,0.06782,76319.6,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:57.914000+00:00,BTC-1MAY26-83000-P,2026-05-01 08:00:00+00:00,83000.0,P,6368.981705,6902.908315,6742.730332,0.0835,0.0905,0.0884,76275.23,9.9,10.1,0.0,0.0,2.0,46.4,0.0,74.12,-0.98648,1e-05,2.15634,-20.55211,-5.46707,76319.6,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:56.908000+00:00,BTC-2MAY26-76500-C,2026-05-02 08:00:00+00:00,76500.0,C,992.1509,1068.4702,1030.31055,0.013,0.014,0.0135,76319.3,42.4,48.3,1.3,1434.99,1.3,38.41,36.53,39.12,0.48211,0.00014,29.5028,-164.99958,3.36319,76319.3,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:57.914000+00:00,BTC-2MAY26-76500-P,2026-05-02 08:00:00+00:00,76500.0,P,1221.1136000000001,1259.2734000000003,1251.64144,0.016,0.0165,0.0164,76319.6,0.8,0.3,5.6,7093.29,5.6,38.41,38.17,39.47,-0.51784,0.00014,29.50305,-165.00188,-3.83385,76319.6,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:57.914000+00:00,BTC-2MAY26-76000-C,2026-05-02 08:00:00+00:00,76000.0,C,1259.2734000000003,1335.5930000000003,1282.16928,0.0165,0.0175,0.0168,76319.6,4.3,36.0,3.1,3644.72,3.1,38.69,37.06,39.66,0.55195,0.00014,29.28186,-164.95554,3.84022,76319.6,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:57.914000+00:00,BTC-2MAY26-76000-P,2026-05-02 08:00:00+00:00,76000.0,P,992.1548,1030.3146000000002,1007.4187200000001,0.013,0.0135,0.0132,76319.6,0.4,2.3,28.4,32231.04,26.4,38.69,38.85,40.15,-0.44805,0.00014,29.28186,-164.95554,-3.31008,76319.6,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:58.922000+00:00,BTC-2MAY26-77000-C,2026-05-02 08:00:00+00:00,77000.0,C,763.1953,839.51483,801.3550650000001,0.01,0.011,0.0105,76319.53,54.6,74.3,0.0,0.0,0.0,37.86,36.04,38.7,0.41162,0.00014,28.80486,-158.77094,2.87887,76319.53,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:58.922000+00:00,BTC-2MAY26-77000-P,2026-05-02 08:00:00+00:00,77000.0,P,1488.230835,1564.550365,1518.758647,0.0195,0.0205,0.0199,76319.53,4.1,23.0,0.0,0.0,0.0,37.86,37.59,40.24,-0.58838,0.00014,28.80486,-158.77094,-4.36552,76319.53,open
2026-04-28 21:34:00+00:00,2026-04-28 21:34:58.922000+00:00,BTC-2MAY26-75500-C,2026-05-02 08:00:00+00:00,75500.0,C,1526.3906,1640.8698949999998,1572.182318,0.02,0.0215,0.0206,76319.53,24.0,15.9,0.0,0.0,0.0,38.93,36.32,40.39,0.61975,0.00013,28.19199,-159.78675,4.29951,76319.53,open
